Country,Number of prostitutesSource: UNAIDS 2016Sex Workers: Size Estimates[4],Number of prostitutesOther sources and year,Population[5],"Prevalence(prostitutes per10,000 population)"
Norway,,"3,000 (2009)[14]","5,254,694",6
Oman,,No data,"4,424,762",-
Pakistan,"230,000",,"193,203,476",12
Palestine,,No data,"4,790,705",-
Panama,"5,200",,"4,034,119",13
Papua New Guinea,,No data,"8,084,991",-
Paraguay,"3,400",,"6,725,308",5
Peru,"67,000",,"31,773,839",21
Philippines,"150,000",,"103,320,222",15
Poland,,"19,000 (unknown)[12]","38,224,410",5
Portugal,,"28,000 (2005)[24]","10,371,627",27
Qatar,,No data,"2,569,804",-
Romania,,"15,8225 (2006)[13]","19,778,083",80
Russia,,"1,000,000 - 3,000,000 (2016)[25]","143,964,513",70 - 208
Rwanda,"12,000",,"11,917,508",10
Samoa,400,,"195,125",21
São Tomé and Príncipe,89,,"199,910",5
Saudi Arabia,,No data,"32,275,687",-
Senegal,"21,000",,"15,411,614",14
Serbia,"3,900",,"8,820,083",4
Seychelles,586,,"94,228",62
Sierra Leone,"240,000",,"7,396,190",325
Singapore,,No data,"5,622,455",-
Slovakia,,"21,777 (2006)[13]","5,444,218",40
Slovenia,,"29,090 (2006)[13]","2,077,862",140
Somalia,"11,000",,"14,317,996",7
South Africa,"24,000",,"56,015,473",4
South Korea,,"500,000 - 1,000,000 (2013)[26]","50,791,919",98 - 197
South Sudan,"5,000",,"12,230,730",4
Spain,"70,000",,"46,347,576",15
Sri Lanka,"14,000",,"20,798,492",7
Sudan,"210,000",,"39,578,828",53
Suriname,"2,200",,"558,368",39
Swaziland,"4,000",,"1,343,098",30
Sweden,,"2,500 (2009)[14]","9,837,533",3
Switzerland,"20,000",,"8,401,739",24
Syria,"25,000",,"18,430,453",14
Taiwan,,"100,000 (2011)[27]","23,556,706",43
Tajikistan,"14,000",,"8,734,951",16
Tanzania,"160,000",,"55,572,201",29
Thailand,"150,000",,"68,863,514",22
Togo,"10,000",,"7,606,374",13
Tonga,"1,000",,"107,122",93
Tunisia,"25,000",,"11,403,248",22
Turkey,,"100,000+ (2016)[28]","79,512,426",13+
Turkmenistan,,"5,663 (2006)[13]","5,662,544",10
Tuvalu,10,,"11,097",9
Trinidad and Tobago,,1000 (2016),"1,353,895",7.3
Uganda,,No data,"41,487,965",-
Ukraine,"80,000",,"44,438,625",18
United Arab Emirates,,"30,000 (unknown)[12]","9,269,612",32
United Kingdom,,"72,800 (2016)[29]","65,788,574",11
United States,,"1,000,000 (2010)[30]","322,179,605",31
Uruguay,"8,200",,"3,444,006",24
Uzbekistan,"22,000",,"31,446,795",7
Vanuatu,"2,000",,"270,402",74
Venezuela,,"473,523 (2006)[13]","31,568,179",150
Vietnam,"72,000",,"94,569,072",7
Yemen,"54,000",,"27,584,213",20
Zambia,"9,300",,"16,591,390",6
Zimbabwe,,"12,383 (2013)[31]","16,150,362",8
