The former Yugoslav Republic of Macedonia,1,,7,,MICS 2011
Timor-Leste,3,,19,,DHS 2009-10
Togo,6,,22,,DHS 2013-14
Tonga,0,,6,,DHS 2012
Trinidad and Tobago,3,,11,,MICS 2011
Tunisia,0,,2,,MICS 2011-12
Turkey,1,,15,,DHS 2013
Turkmenistan,0,,6,,MICS 2015-16
Tuvalu,0,x,10,x,DHS 2007
Uganda,10,,40,,DHS 2011
Ukraine,0,,9,,MICS 2012
United Republic of Tanzania,5,,31,,DHS 2015-16
Uruguay,1,,25,,MICS 2013
Uzbekistan,0,x,7,x,MICS 2006
Vanuatu,3,,21,,DHS 2013
Viet Nam,1,,11,,MICS 2014
Yemen,9,,32,,DHS 2013
Zambia,6,,31,,DHS 2013-14
Zimbabwe,4,,32,,DHS 2015
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
SUMMARY,,,,,
Sub-Saharan Africa,12,,38,,
Eastern and Southern Africa,9,,35,,
West and Central Africa,14,,41,,
Middle East and North Africa,3,,17,,
South Asia,8,,30,,
East Asia and Pacific,–,,–,,
Latin America and Caribbean,5,,25,,
Europe and Central Asia,–,,–,,
Eastern Europe and Central Asia,1,,11,,
Western Europe,–,,–,,
North America,–,,–,,
Least developed countries,12,,40,,
World,5,,21,,
,,,,,
Notes:,– Data not available.,,,,
,x Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages.  ,,,,
,* Data refer to the most recent year available during the period specified in the column heading.,,,,
,,,,,
Indicator definition:,Percentage of women aged 20 to 24 years who were first married or in union before ages 15 and 18.,,,,
,,,,,
Source: ,"UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",,,,
,,,,,
"Prepared by the Data and Analytics Section; Division of Data, Research and Policy, UNICEF",,,,,
Contact us:  ,data@unicef.org,,,,
